#Barcode Length used: 35
#Max_mismatches used: 2
#Total barcodes before combination: 4127
FILENAME	MAPPED	READS	MAP %	THRESH	LIBID
ZJ25_51m__T___CD175_sampled_I501_S1_L001_R1_001.fastq	7656	4000000	0.1914	100	CTGATC
ZJ25_51m__Grpos__BMR_CD175_sampled_I512_S10_L001_R1_001.fastq	46655	4000000	1.166375	100	CTGATC
ZJ25_51m__CD34neg__BMR_CD175_sampled_I510_S8_L001_R1_001.fastq	30368	4000000	0.7592	100	CTGATC
ZJ25_51m__NK___CD175_sampled_I504_S4_L001_R1_001.fastq	25187	4000000	0.629675	100	CTGATC
ZJ25_51m__CD34pos__BMR_CD175_sampled_I506_S6_L001_R1_001.fastq	3368	4000000	0.0842	100	CTGATC
ZJ25_51m__CD34neg__BML_CD175_sampled_I511_S9_L001_R1_001.fastq	43438	4000000	1.08595	100	CTGATC
ZJ25_51m__CD34pos__BML_CD175_sampled_I507_S7_L001_R1_001.fastq	111461	4000000	2.786525	100	CTGATC
ZJ25_51m__Gr___CD175_sampled_I505_S5_L001_R1_001.fastq	56966	4000000	1.42415	100	CTGATC
ZJ25_51m__B___CD175_sampled_I502_S2_L001_R1_001.fastq	97988	4000000	2.4497	100	CTGATC
ZJ25_51m__Mono___CD175_sampled_I503_S3_L001_R1_001.fastq	2834	4000000	0.07085	100	CTGATC
ZJ25_51m__Grpos__BML_CD175_sampled_I514_S11_L001_R1_001.fastq	24994	4000000	0.62485	100	CTGATC
ZJ25_51m__Grpos__BMRL_CD175_sampled_I515_S12_L001_R1_001.fastq	61900	4000000	1.5475	100	CTGATC
ZJ25_44m_T_cell_LT26_sampled_LT26_i515_S36_L008_R1_001.fastq	38002	4000000	0.95005	100	CTGATC
ZJ25_44m_B_cell_LT26_sampled_LT26_i516_S37_L008_R1_001.fastq	146809	4000000	3.670225	100	CTGATC
ZJ25_44m_Mono_LT26_sampled_LT26_i518_S38_L008_R1_001.fastq	824	4000000	0.0206	100	CTGATC
ZJ25_44m_NK_LT26_sampled_LT26_i519_S39_L008_R1_001.fastq	24240	4000000	0.606	100	CTGATC
ZJ25_44m_Grans_LT26_sampled_LT26_i520_S40_L008_R1_001.fastq	91283	4000000	2.282075	100	CTGATC
